province_territory,municipality,source_class,canbics_class,street_view_url
bc,abbotsford,path,multi_use_path,"https://www.google.com/maps/@49.0670901,-122.3267472,3a,75y,138.2h,82.3t/data=!3m6!1e1!3m4!1syFJIuwEFRPu6MpuxdDvq0A!2e0!7i16384!8i8192?entry=ttu"
bc,abbotsford,lane,painted_bike_lane,"https://www.google.com/maps/@49.0479111,-122.315288,3a,75y,343.15h,84.91t/data=!3m6!1e1!3m4!1sXxmnEo1dQ5t41CRD7B1bcQ!2e0!7i16384!8i8192?entry=ttu"
on,ajax,cycle track,cycle_track,"https://www.google.com/maps/@43.8241153,-79.0033228,3a,75y,70.94h,78.34t/data=!3m10!1e1!3m8!1sc5kHELoAqpgVQ4gIhYJwfQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dc5kHELoAqpgVQ4gIhYJwfQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D351.12857%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!9m2!1b1!2i39?entry=ttu"
on,ajax,multi-use trail,multi_use_path,
on,ajax,off-road trail,multi_use_path,"https://www.google.com/maps/@43.8381978,-79.0049943,3a,75y,66.96h,87.35t/data=!3m9!1e1!3m7!1s0t9DTzOe8D1Upfz-3kyrvQ!2e0!7i16384!8i8192!9m2!1b1!2i39?entry=ttu"
on,ajax,bicycle priority,shared_roadway,"https://www.google.com/maps/@43.8521074,-79.0218856,3a,75y,178.6h,78.62t/data=!3m9!1e1!3m7!1s4Bnu94zkswXPKUVlysiWIw!2e0!7i16384!8i8192!9m2!1b1!2i39?entry=ttu"
on,ajax,shared facility,shared_roadway,
on,ajax,bike lane,painted_bike_lane,"https://www.google.com/maps/@43.8987452,-79.0099812,3a,75y,245.13h,79.39t/data=!3m6!1e1!3m4!1sgGME_T0_OYHGUAva98mltQ!2e0!7i16384!8i8192?entry=ttu"
on,ajax,buffered paved shoulder,shared_roadway,"https://www.google.com/maps/@43.9018838,-79.0541043,3a,75y,145.37h,86.53t/data=!3m7!1e1!3m5!1sXWYvH8UgvPviwSUvZyGWEA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DXWYvH8UgvPviwSUvZyGWEA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D76.89023%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
on,barrie,none,not_classified,
on,barrie,designated bike lane,painted_bike_lane,
on,barrie,buffered,painted_bike_lane,
on,barrie,urban shoulder,major_shared_roadway,
on,barrie,sharrow,shared_roadway,
on,belleville,sidewalk,not_classified,
on,belleville,trans canada trail,gravel_trail,"https://www.google.com/maps/@44.2394849,-77.3936088,3a,75y,170.71h,69.06t/data=!3m6!1e1!3m4!1se-qOALWjCM69TSMGuqH8iA!2e0!7i16384!8i8192?entry=ttu"
on,belleville,bicycle route,local_street_bikeway,"https://www.google.ca/maps/@44.163749,-77.3929661,3a,37.9y,265.44h,77.75t/data=!3m6!1e1!3m4!1sEyrsuwFqmHP-8kxdHQjbkg!2e0!7i16384!8i8192?entry=ttu"
on,belleville,recreational trail,multi_use_path,"https://www.google.ca/maps/@44.1534971,-77.3876467,3a,69.4y,39.74h,90.21t/data=!3m6!1e1!3m4!1s8MPti1l09xMfGb6ZPkzqig!2e0!7i16384!8i8192?entry=ttu"
on,belleville,in-boulevard multi-use path,multi_use_path,"https://www.google.ca/maps/@44.1595875,-77.4046556,3a,74.7y,67.2h,77.4t/data=!3m6!1e1!3m4!1si73KtkDDl4m3CTsS3n2lwg!2e0!7i16384!8i8192?entry=ttu"
on,belleville,conventional bicycle lanes,painted_bike_lane,"https://www.google.ca/maps/@44.1797413,-77.3897166,3a,75y,13.38h,81.52t/data=!3m6!1e1!3m4!1soRc5SHWP2YG1lYkWGSIm-A!2e0!7i16384!8i8192?entry=ttu"
on,brampton,apron,not_classified,
on,brampton,bridge,not_classified,
on,brampton,crosswalk,not_classified,
on,brampton,nan,not_classified,
on,brampton,sidewalk,not_classified,
on,brampton,underpass,not_classified,
on,brampton,walkway,not_classified,
