province_territory,municipality,provider,year_updated,source_url,download_url,license,attribution
bc,abbotsford,City of Abbotsford,2021,https://opendata-abbotsford.hub.arcgis.com/datasets/Abbotsford::cycling-routes/explore,https://opendata.arcgis.com/api/v3/datasets/9a01c38428bd431e9e5d88d41bc139d6_176/downloads/data?format=shp&spatialRefId=26910,https://opendata-abbotsford.hub.arcgis.com/pages/city-of-abbotsford-open-data-licence,Contains information licenced under the Open Government Licence – City of Abbotsford.
on,ajax,Town of Ajax,2021,https://opendata.ajax.ca/datasets/TownofAjax::active-transportation/about,https://opendata.arcgis.com/api/v3/datasets/cf1493a01cf94730b4d2d80fc1cf869e_25/downloads/data?format=shp&spatialRefId=26917 ,http://townofajax.maps.arcgis.com/sharing/rest/content/items/22e2d8e248724d7cb0310dc2db675abd/data ,Contains public sector Information made available under The Corporation of the Town of Ajax's Open Data Licence
on,barrie,City of Barrie,2023,https://opendata.barrie.ca/datasets/1bc1a28dee2e493d9a4eb245277a128b_10/explore,,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf ,Contains information licensed under the Open Government Licence – Barrie.
on,belleville,City of Belleville,2022,https://opendata-bellevillegis.hub.arcgis.com/datasets/bellevilleGIS::active-transportation-network/explore?location=44.168772%2C-77.376178%2C13.86,https://opendata.arcgis.com/api/v3/datasets/604e40ba84a94533b416cb99aa60a0a2_0/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,,
on,brampton,City of Brampton,2023,https://geohub.brampton.ca/datasets/brampton::recreational-trails/about,https://opendata.arcgis.com/api/v3/datasets/7a4019577fcf4a4f86da22add04816cf_0/downloads/data?format=shp&spatialRefId=3857 ,https://creativecommons.org/licenses/by/4.0/,
on,burlington,City of Burlington,2023,https://navburl-burlington.opendata.arcgis.com/datasets/28c2c17222c54820a4284a7a70b7c61b/explore?location=43.368436%2C-79.816729%2C12.54,https://opendata.arcgis.com/api/v3/datasets/28c2c17222c54820a4284a7a70b7c61b_0/downloads/data?format=shp&spatialRefId=26917  ,https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf,
bc,burnaby,City of Burnaby,2023,https://data.burnaby.ca/datasets/burnaby::bike-trails/explore,https://opendata.arcgis.com/api/v3/datasets/ded8a9769572435e8d6b548a7e864abc_15/downloads/data?format=geojson&spatialRefId=4326&where=1%3D1,https://data.burnaby.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence – City of Burnaby.
ab,calgary,City of Calgary,2023,https://data.calgary.ca/Transportation-Transit/Calgary-Bikeways/jjqk-9b73/about_data,Manual,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence – City of Calgary.
on,cambridge,City of Cambridge,2022,https://geohub.cambridge.ca/datasets/cityofcambridge::bikeway-network-1/about,https://opendata.arcgis.com/api/v3/datasets/423bf24abf76441cad8a1f4b8b982ede_2/downloads/data?format=shp&spatialRefId=26917 ,https://www.cambridge.ca/en/your-city/resources/Open-Data-Licence-Version-2.pdf ,Contains information licensed under the Open Government Licence – City of Cambridge.
bc,campbell_river,City of Campbell River,2018,https://data-crcc.opendata.arcgis.com/datasets/090691684a21480aa859654821aae349/explore,https://opendata.arcgis.com/api/v3/datasets/090691684a21480aa859654821aae349_0/downloads/data?format=shp&spatialRefId=26910,https://data-crcc.opendata.arcgis.com/datasets/090691684a21480aa859654821aae349_0/explore,
