municipality,Total,High comfort total,Cycle track,Local street bikeway,Bike path,Multi use path,Painted bike lane,Gravel trail,Shared roadway,Major shared roadway
Abbotsford,178.0,0.0,0.0,0.0,0.0,58.0,120.0,0.0,0.0,0.0
Ajax,60.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,29.0,0.0
Barrie,64.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,4.0,14.0
Belleville,96.0,5.0,0.0,5.0,0.0,43.0,13.0,36.0,0.0,0.0
Brampton,614.0,0.0,0.0,0.0,0.0,470.0,120.0,0.0,24.0,0.0
Burlington,208.0,0.0,0.0,0.0,0.0,84.0,54.0,0.0,71.0,0.0
Burnaby,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,22.0
Calgary,492.0,31.0,31.0,0.0,0.0,0.0,57.0,0.0,404.0,0.0
Cambridge,227.0,0.0,0.0,0.0,0.0,74.0,57.0,0.0,44.0,52.0
Campbell River,106.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,31.0,48.0
Charlottetown,57.0,2.0,2.0,1.0,0.0,26.0,26.0,3.0,0.0,0.0
Chilliwack,289.0,5.0,0.0,0.0,5.0,0.0,110.0,47.0,49.0,79.0
Coquitlam,80.0,0.0,0.0,0.0,0.0,28.0,23.0,0.0,29.0,0.0
Cornwall,127.0,2.0,0.0,2.0,0.0,44.0,19.0,0.0,0.0,62.0
Courtenay,71.0,26.0,14.0,12.0,0.0,33.0,0.0,0.0,12.0,0.0
Drummondville,135.0,75.0,75.0,0.0,0.0,0.0,42.0,0.0,18.0,0.0
Edmonton,1146.0,226.0,27.0,200.0,0.0,706.0,35.0,75.0,0.0,104.0
Essex County,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0
Fredericton,42.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,16.0,0.0
Gatineau,380.0,22.0,2.0,20.0,0.0,224.0,86.0,0.0,0.0,48.0
Greater Sudbury,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
Guelph,157.0,0.0,0.0,0.0,0.0,14.0,116.0,0.0,27.0,0.0
Halifax,874.0,3.0,0.0,3.0,0.0,214.0,79.0,0.0,578.0,0.0
Hamilton,332.0,2.0,0.0,0.0,2.0,0.0,171.0,0.0,92.0,67.0
Kamloops,151.0,0.0,0.0,0.0,0.0,52.0,29.0,0.0,70.0,0.0
Kelowna,423.0,10.0,10.0,0.0,0.0,61.0,309.0,43.0,0.0,0.0
Kingston,238.0,0.0,0.0,0.0,0.0,13.0,96.0,1.0,3.0,126.0
Kitchener,240.0,8.0,1.0,6.0,0.0,76.0,134.0,0.0,7.0,15.0
Langley,17.0,6.0,5.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0
Laval,468.0,74.0,74.0,0.0,0.0,59.0,269.0,0.0,66.0,0.0
Levis,335.0,54.0,0.0,0.0,54.0,52.0,53.0,0.0,0.0,177.0
London,179.0,40.0,40.0,0.0,0.0,0.0,86.0,0.0,0.0,53.0
Longueuil,218.0,82.0,82.0,0.0,0.0,60.0,62.0,0.0,12.0,2.0
Maple Ridge,76.0,12.0,12.0,0.0,0.0,0.0,44.0,1.0,19.0,0.0
Milton,163.0,0.0,0.0,0.0,0.0,152.0,0.0,11.0,0.0,0.0
Mississauga,427.0,0.0,0.0,0.0,0.0,244.0,66.0,0.0,115.0,2.0
Moncton,83.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,36.0,0.0
Montreal,1030.0,360.0,168.0,0.0,192.0,0.0,290.0,100.0,281.0,0.0
Niagara Falls,94.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,58.0,0.0
North Vancouver,161.0,27.0,7.0,6.0,14.0,44.0,51.0,0.0,39.0,0.0
Oakville,185.0,68.0,0.0,0.0,68.0,0.0,65.0,0.0,51.0,1.0
Orangeville,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
Ottawa,1410.0,29.0,29.0,0.0,0.0,786.0,234.0,0.0,0.0,361.0
Oxford County,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Penticton,21.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0
Peterborough,92.0,31.0,0.0,0.0,31.0,25.0,35.0,0.0,0.0,0.0
Port Moody,50.0,9.0,9.0,0.0,0.0,12.0,0.0,29.0,0.0,0.0
Prince George,58.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,31.0
Quebec City,528.0,190.0,0.0,0.0,190.0,0.0,244.0,0.0,0.0,94.0
Regina,153.0,55.0,0.0,55.0,0.0,50.0,14.0,33.0,1.0,0.0
Repentigny,99.0,47.0,0.0,0.0,47.0,0.0,50.0,0.0,3.0,0.0
Rimouski,141.0,16.0,16.0,0.0,0.0,0.0,19.0,31.0,75.0,0.0
Rouyn-Noranda,150.0,40.0,2.0,0.0,38.0,15.0,22.0,0.0,70.0,4.0
Saguenay,235.0,86.0,86.0,0.0,0.0,0.0,133.0,0.0,16.0,0.0
Saskatoon,238.0,14.0,11.0,3.0,1.0,53.0,24.0,143.0,4.0,1.0
Shawinigan,97.0,22.0,22.0,0.0,0.0,0.0,70.0,4.0,0.0,0.0
Sherbrooke,271.0,109.0,109.0,0.0,0.0,0.0,88.0,0.0,74.0,0.0
Squamish,44.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,4.0,0.0
St John,38.0,0.0,0.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0
St John's,36.0,0.0,0.0,0.0,0.0,4.0,11.0,21.0,0.0,0.0
Surrey,595.0,78.0,31.0,47.0,0.0,147.0,265.0,0.0,104.0,0.0
Toronto,625.0,68.0,68.0,0.0,0.0,354.0,100.0,0.0,102.0,0.0
Trois-Rivières,204.0,93.0,58.0,36.0,0.0,0.0,84.0,0.0,27.0,0.0
Vancouver,333.0,246.0,28.0,176.0,42.0,34.0,43.0,0.0,10.0,0.0
Vernon,24.0,0.0,0.0,0.0,0.0,19.0,0.0,5.0,0.0,0.0
Victoria,61.0,36.0,21.0,15.0,0.0,0.0,22.0,0.0,0.0,2.0
Waterloo,165.0,3.0,3.0,0.0,0.0,0.0,137.0,0.0,0.0,25.0
West Vancouver,88.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,83.0,0.0
Whitby,109.0,0.0,0.0,0.0,0.0,36.0,6.0,0.0,67.0,0.0
White Rock,13.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0
Whitehorse,14.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0
Windsor,306.0,0.0,0.0,0.0,0.0,183.0,90.0,0.0,33.0,0.0
Winnipeg,428.0,71.0,22.0,50.0,0.0,249.0,30.0,53.0,24.0,0.0
Yellowknife,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
York Region,1723.0,19.0,19.0,0.0,0.0,260.0,157.0,0.0,846.0,441.0
